plot_type,varname,casename,apply_log10,time_period,sel_dict,filepath,date
histogram,CaCO3_FLUX_100m,g.e22.G1850ECO_JRA_HR.TL319_t13.003,False,0001-01-01_0001-12-31,{},histogram/CaCO3_FLUX_100m.0001-01-01_0001-12-31.png,
histogram,CaCO3_FLUX_100m,g.e22.G1850ECO_JRA_HR.TL319_t13.003,True,0001-01-01_0001-12-31,{},histogram/CaCO3_FLUX_100m.0001-01-01_0001-12-31.log10.png,
histogram,CaCO3_FLUX_100m,g.e22.G1850ECO_JRA_HR.TL319_t13.003,False,0002-01-01_0002-12-31,{},histogram/CaCO3_FLUX_100m.0002-01-01_0002-12-31.png,
histogram,CaCO3_FLUX_100m,g.e22.G1850ECO_JRA_HR.TL319_t13.003,True,0002-01-01_0002-12-31,{},histogram/CaCO3_FLUX_100m.0002-01-01_0002-12-31.log10.png,
histogram,CaCO3_FLUX_100m,g.e22.G1850ECO_JRA_HR.TL319_t13.003,False,0003-01-01_0003-12-31,{},histogram/CaCO3_FLUX_100m.0003-01-01_0003-12-31.png,
histogram,CaCO3_FLUX_100m,g.e22.G1850ECO_JRA_HR.TL319_t13.003,True,0003-01-01_0003-12-31,{},histogram/CaCO3_FLUX_100m.0003-01-01_0003-12-31.log10.png,
histogram,CaCO3_FLUX_100m,g.e22.G1850ECO_JRA_HR.TL319_t13.003,False,0004-01-01_0004-12-31,{},histogram/CaCO3_FLUX_100m.0004-01-01_0004-12-31.png,
histogram,CaCO3_FLUX_100m,g.e22.G1850ECO_JRA_HR.TL319_t13.003,True,0004-01-01_0004-12-31,{},histogram/CaCO3_FLUX_100m.0004-01-01_0004-12-31.log10.png,
histogram,DpCO2,g.e22.G1850ECO_JRA_HR.TL319_t13.003,False,0001-01-01_0001-12-31,{},histogram/DpCO2.0001-01-01_0001-12-31.png,
histogram,DpCO2,g.e22.G1850ECO_JRA_HR.TL319_t13.003,False,0002-01-01_0002-12-31,{},histogram/DpCO2.0002-01-01_0002-12-31.png,
histogram,DpCO2,g.e22.G1850ECO_JRA_HR.TL319_t13.003,False,0003-01-01_0003-12-31,{},histogram/DpCO2.0003-01-01_0003-12-31.png,
histogram,DpCO2,g.e22.G1850ECO_JRA_HR.TL319_t13.003,False,0004-01-01_0004-12-31,{},histogram/DpCO2.0004-01-01_0004-12-31.png,
histogram,FG_CO2,g.e22.G1850ECO_JRA_HR.TL319_t13.003,False,0001-01-01_0001-12-31,{},histogram/FG_CO2.0001-01-01_0001-12-31.png,
histogram,FG_CO2,g.e22.G1850ECO_JRA_HR.TL319_t13.003,False,0002-01-01_0002-12-31,{},histogram/FG_CO2.0002-01-01_0002-12-31.png,
histogram,FG_CO2,g.e22.G1850ECO_JRA_HR.TL319_t13.003,False,0003-01-01_0003-12-31,{},histogram/FG_CO2.0003-01-01_0003-12-31.png,
histogram,FG_CO2,g.e22.G1850ECO_JRA_HR.TL319_t13.003,False,0004-01-01_0004-12-31,{},histogram/FG_CO2.0004-01-01_0004-12-31.png,
