plot_type,varname,casename,apply_log10,time_period,sel_dict,filepath,date
histogram,DpCO2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0102-01-01_0102-12-31,{},histogram/DpCO2.0102-01-01_0102-12-31.png,
histogram,DpCO2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0103-01-01_0103-12-31,{},histogram/DpCO2.0103-01-01_0103-12-31.png,
histogram,DpCO2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0104-01-01_0104-12-31,{},histogram/DpCO2.0104-01-01_0104-12-31.png,
histogram,FG_CO2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0095-01-01_0095-12-31,{},histogram/FG_CO2.0095-01-01_0095-12-31.png,
histogram,FG_CO2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0096-01-01_0096-12-31,{},histogram/FG_CO2.0096-01-01_0096-12-31.png,
histogram,FG_CO2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0097-01-01_0097-12-31,{},histogram/FG_CO2.0097-01-01_0097-12-31.png,
histogram,FG_CO2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0098-01-01_0098-12-31,{},histogram/FG_CO2.0098-01-01_0098-12-31.png,
histogram,FG_CO2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0099-01-01_0099-12-31,{},histogram/FG_CO2.0099-01-01_0099-12-31.png,
histogram,FG_CO2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0100-01-01_0100-12-31,{},histogram/FG_CO2.0100-01-01_0100-12-31.png,
histogram,FG_CO2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0101-01-01_0101-12-31,{},histogram/FG_CO2.0101-01-01_0101-12-31.png,
histogram,FG_CO2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0102-01-01_0102-12-31,{},histogram/FG_CO2.0102-01-01_0102-12-31.png,
histogram,FG_CO2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0103-01-01_0103-12-31,{},histogram/FG_CO2.0103-01-01_0103-12-31.png,
histogram,FG_CO2,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0104-01-01_0104-12-31,{},histogram/FG_CO2.0104-01-01_0104-12-31.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0095-01-01_0095-12-31,{'z_t': '500.00'},histogram/NH4.0095-01-01_0095-12-31.z_t--500.00.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0095-01-01_0095-12-31,{'z_t': '500.00'},histogram/NH4.0095-01-01_0095-12-31.z_t--500.00.log10.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0096-01-01_0096-12-31,{'z_t': '500.00'},histogram/NH4.0096-01-01_0096-12-31.z_t--500.00.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0096-01-01_0096-12-31,{'z_t': '500.00'},histogram/NH4.0096-01-01_0096-12-31.z_t--500.00.log10.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0097-01-01_0097-12-31,{'z_t': '500.00'},histogram/NH4.0097-01-01_0097-12-31.z_t--500.00.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0097-01-01_0097-12-31,{'z_t': '500.00'},histogram/NH4.0097-01-01_0097-12-31.z_t--500.00.log10.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0098-01-01_0098-12-31,{'z_t': '500.00'},histogram/NH4.0098-01-01_0098-12-31.z_t--500.00.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0098-01-01_0098-12-31,{'z_t': '500.00'},histogram/NH4.0098-01-01_0098-12-31.z_t--500.00.log10.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0099-01-01_0099-12-31,{'z_t': '500.00'},histogram/NH4.0099-01-01_0099-12-31.z_t--500.00.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0099-01-01_0099-12-31,{'z_t': '500.00'},histogram/NH4.0099-01-01_0099-12-31.z_t--500.00.log10.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0100-01-01_0100-12-31,{'z_t': '500.00'},histogram/NH4.0100-01-01_0100-12-31.z_t--500.00.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0100-01-01_0100-12-31,{'z_t': '500.00'},histogram/NH4.0100-01-01_0100-12-31.z_t--500.00.log10.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0101-01-01_0101-12-31,{'z_t': '500.00'},histogram/NH4.0101-01-01_0101-12-31.z_t--500.00.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0101-01-01_0101-12-31,{'z_t': '500.00'},histogram/NH4.0101-01-01_0101-12-31.z_t--500.00.log10.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0102-01-01_0102-12-31,{'z_t': '500.00'},histogram/NH4.0102-01-01_0102-12-31.z_t--500.00.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0102-01-01_0102-12-31,{'z_t': '500.00'},histogram/NH4.0102-01-01_0102-12-31.z_t--500.00.log10.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0103-01-01_0103-12-31,{'z_t': '500.00'},histogram/NH4.0103-01-01_0103-12-31.z_t--500.00.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0103-01-01_0103-12-31,{'z_t': '500.00'},histogram/NH4.0103-01-01_0103-12-31.z_t--500.00.log10.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0104-01-01_0104-12-31,{'z_t': '500.00'},histogram/NH4.0104-01-01_0104-12-31.z_t--500.00.png,
histogram,NH4,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0104-01-01_0104-12-31,{'z_t': '500.00'},histogram/NH4.0104-01-01_0104-12-31.z_t--500.00.log10.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0095-01-01_0095-12-31,{},histogram/NHx_SURFACE_EMIS.0095-01-01_0095-12-31.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0095-01-01_0095-12-31,{},histogram/NHx_SURFACE_EMIS.0095-01-01_0095-12-31.log10.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0096-01-01_0096-12-31,{},histogram/NHx_SURFACE_EMIS.0096-01-01_0096-12-31.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0096-01-01_0096-12-31,{},histogram/NHx_SURFACE_EMIS.0096-01-01_0096-12-31.log10.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0097-01-01_0097-12-31,{},histogram/NHx_SURFACE_EMIS.0097-01-01_0097-12-31.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0097-01-01_0097-12-31,{},histogram/NHx_SURFACE_EMIS.0097-01-01_0097-12-31.log10.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0098-01-01_0098-12-31,{},histogram/NHx_SURFACE_EMIS.0098-01-01_0098-12-31.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,True,0098-01-01_0098-12-31,{},histogram/NHx_SURFACE_EMIS.0098-01-01_0098-12-31.log10.png,
histogram,NHx_SURFACE_EMIS,g.e22b05.G1850ECOIAF_JRA.TL319_g17.cocco.001,False,0099-01-01_0099-12-31,{},histogram/NHx_SURFACE_EMIS.0099-01-01_0099-12-31.png,
